Wavelength (nm)	N13 abs N
556.00	0.087208
556.25	0.082181
556.50	0.079888
556.75	0.076761
557.00	0.074529
557.25	0.069489
557.50	0.066449
557.75	0.065187
558.00	0.064007
558.25	0.060934
558.50	0.058390
558.75	0.056769
559.00	0.054767
559.25	0.049727
559.50	0.050629
559.75	0.047318
560.00	0.046247
560.25	0.043859
560.50	0.041220
560.75	0.042597
561.00	0.039368
561.25	0.038418
561.50	0.037672
561.75	0.035189
562.00	0.033384
562.25	0.032930
562.50	0.030813
562.75	0.028920
563.00	0.029327
563.25	0.027428
563.50	0.027251
563.75	0.024246
564.00	0.023344
564.25	0.024422
564.50	0.023059
564.75	0.022964
565.00	0.019925
565.25	0.019748
565.50	0.018466
565.75	0.017903
566.00	0.017360
566.25	0.016146
566.50	0.015956
566.75	0.014898
567.00	0.016913
567.25	0.013765
567.50	0.013493
567.75	0.013175
568.00	0.011431
568.25	0.014009
568.50	0.010420
568.75	0.012367
569.00	0.010257
569.25	0.0093144
569.50	0.0095044
569.75	0.0083511
570.00	0.0079712
570.25	0.0091788
570.50	0.0066619
570.75	0.0083172
571.00	0.0087310
571.25	0.0071029
571.50	0.0062006
571.75	0.0059699
572.00	0.0066890
572.25	0.0061192
572.50	0.0042807
572.75	0.0058478
573.00	0.0037448
573.25	0.0050066
573.50	0.0045453
573.75	0.0053458
574.00	0.0041586
574.25	0.0049184
574.50	0.0045996
574.75	0.0044300
575.00	0.0045724
575.25	0.0039212
575.50	0.0038058
575.75	0.0025983
576.00	0.0034734
576.25	0.0023269
576.50	0.0035345
576.75	0.0017299
577.00	0.0029443
577.25	0.0033106
577.50	0.0031342
577.75	0.0035277
578.00	0.0027679
578.25	0.0013772
578.50	0.0015807
578.75	0.0027475
579.00	0.0022184
579.25	0.0029850
579.50	0.0040161
579.75	0.0034870
580.00	0.0013636
580.25	0.0023608
580.50	0.0021302
580.75	0.0014314
581.00	-0.0013772
581.25	0.00047488
581.50	1.3568e-05
581.75	0.0015875
582.00	0.0024287
582.25	0.0012822
582.50	0.00092262
582.75	0.0023337
583.00	0.0027068
583.25	0.00084800
583.50	0.0014111
583.75	0.0015942
584.00	0.0013093
584.25	0.0020216
584.50	-0.0013297
584.75	-0.00029850
585.00	-0.00012211
585.25	0.00090227
585.50	0.0021234
585.75	0.00074624
586.00	0.0019538
586.25	0.0016214
586.50	0.0015400
586.75	-0.00046131
587.00	0.00052915
587.25	0.00065805
587.50	0.0016485
587.75	0.00065805
588.00	0.00014925
588.25	0.0016214
588.50	-0.00041382
588.75	0.00064448
589.00	-0.00048845
589.25	0.00023066
589.50	0.00069875
589.75	-0.00026458
590.00	0.00031885
590.25	-0.0013161
590.50	0.00061056
590.75	0.0015671
591.00	-2.0352e-05
591.25	0.0012347
591.50	-0.00097011
591.75	0.0017164
592.00	0.00021709
592.25	0.0010312
592.50	0.0016621
592.75	0.00033242
593.00	0.0011397
593.25	0.00069197
593.50	0.00021709
593.75	6.1056e-05
594.00	0.0014721
594.25	0.00054272
594.50	-0.0012686
594.75	0.0010787
595.00	0.00015603
595.25	0.0013975
595.50	-0.00099725
595.75	-0.00048845
596.00	-0.0011465
596.25	0.00064448
596.50	-0.00040026
596.75	-0.00038669
597.00	0.00078016
597.25	-0.0012822
597.50	0.00023066
597.75	-0.00016960
598.00	-0.00083443
598.25	0.0012957
598.50	-0.00062413
598.75	0.0012822
599.00	-0.0017638
